customerid,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction,churn,cluster
1,22,Female,25,14,4,27,Basic,Monthly,598,9,1,0
7,47,Female,37,15,9,28,Basic,Quarterly,574,14,1,0
11,46,Female,42,27,9,21,Standard,Annual,526,3,1,1
16,35,Female,1,3,7,3,Basic,Monthly,677,25,1,0
26,65,Female,58,7,3,30,Premium,Annual,166,1,1,1
30,44,Female,44,7,8,16,Basic,Quarterly,792,27,1,0
35,31,Female,31,6,2,29,Standard,Quarterly,329,6,1,2
38,56,Female,27,15,8,24,Standard,Monthly,384,6,1,2
41,29,Female,28,23,7,16,Basic,Quarterly,1000,26,1,0
43,61,Male,19,2,7,2,Premium,Monthly,879,4,1,2
47,36,Female,24,21,8,29,Basic,Monthly,231,8,1,0
49,51,Female,15,26,10,25,Basic,Quarterly,244,1,1,0
53,45,Female,17,4,5,23,Standard,Annual,402,8,1,1
55,27,Male,57,4,10,20,Premium,Annual,699,4,1,1
59,28,Female,29,3,2,21,Premium,Quarterly,172,2,1,2
61,30,Male,57,21,8,24,Standard,Annual,576,6,1,1
66,41,Male,35,4,6,16,Standard,Annual,546,26,1,1
68,42,Male,34,2,7,17,Premium,Annual,757,25,1,1
70,52,Female,56,8,9,21,Premium,Annual,599,20,1,1
74,52,Female,37,26,5,29,Standard,Annual,668,3,1,1
76,64,Male,48,9,7,26,Premium,Annual,471,11,1,1
77,41,Male,59,30,5,26,Basic,Annual,628,11,1,1
78,48,Female,47,12,0,29,Basic,Monthly,761,8,1,0
82,43,Female,6,16,6,21,Basic,Monthly,996,17,1,0
85,19,Female,59,24,3,26,Basic,Quarterly,368,8,1,0
88,22,Male,25,10,10,17,Premium,Monthly,966,7,1,2
94,22,Male,51,27,9,23,Standard,Annual,347,11,1,1
99,65,Male,21,3,5,20,Standard,Quarterly,570,1,1,1
101,52,Female,45,20,6,28,Standard,Monthly,442,10,1,2
111,30,Male,57,20,8,26,Premium,Monthly,821,8,1,2
121,35,Female,47,2,8,21,Basic,Monthly,532,7,1,0
125,40,Female,35,15,6,20,Basic,Annual,104,27,1,1
127,30,Female,23,29,1,22,Standard,Annual,255,24,1,1
132,56,Female,33,7,0,22,Premium,Monthly,664,27,1,2
135,46,Male,47,14,10,16,Basic,Annual,996,16,1,1
136,65,Female,26,17,10,25,Basic,Annual,254,1,1,1
148,38,Female,16,13,2,28,Premium,Annual,133,24,1,1
149,39,Male,24,6,5,28,Premium,Quarterly,910,22,1,2
150,29,Male,42,8,8,21,Premium,Quarterly,419,27,1,2
165,58,Female,54,18,1,29,Premium,Quarterly,235,29,1,2
172,51,Female,6,1,9,18,Standard,Quarterly,354,12,1,2
174,56,Female,36,4,4,21,Premium,Quarterly,946,30,1,2
175,23,Male,42,23,6,24,Standard,Monthly,838,6,1,0
177,29,Male,31,30,8,24,Premium,Quarterly,150,11,1,2
179,25,Female,28,8,4,23,Premium,Monthly,716,1,1,2
181,45,Male,40,10,10,28,Premium,Annual,912,8,1,1
183,33,Female,60,24,10,18,Premium,Monthly,423,24,1,2
188,21,Female,41,13,8,22,Premium,Monthly,538,18,1,2
194,41,Female,58,24,9,16,Standard,Annual,447,20,1,1
199,29,Female,56,21,3,26,Basic,Quarterly,239,29,1,0
207,33,Male,35,29,9,18,Basic,Monthly,335,8,1,0
211,57,Female,15,4,5,30,Standard,Quarterly,960,21,1,2
220,37,Female,25,19,8,26,Standard,Monthly,212,13,1,2
226,20,Male,60,29,7,22,Standard,Quarterly,298,23,1,1
227,60,Female,16,24,6,21,Basic,Monthly,725,14,1,0
229,20,Female,55,25,1,26,Premium,Quarterly,382,8,1,2
231,27,Male,50,1,10,30,Standard,Annual,736,4,1,1
233,63,Male,46,2,4,9,Basic,Quarterly,969,30,1,0
234,47,Female,33,5,4,23,Premium,Quarterly,393,14,1,2
238,49,Female,33,23,3,21,Premium,Annual,230,23,1,1
239,46,Female,52,26,5,27,Basic,Monthly,403,14,1,0
248,48,Male,54,15,7,18,Standard,Quarterly,131,11,1,1
251,43,Male,31,8,7,28,Premium,Monthly,313,10,1,2
253,41,Female,45,21,5,18,Basic,Quarterly,799,7,1,0
254,22,Male,47,15,10,24,Premium,Annual,237,17,1,1
257,28,Male,49,22,6,29,Standard,Quarterly,187,13,1,1
259,42,Female,17,14,6,22,Standard,Annual,207,10,1,1
261,62,Male,52,1,4,22,Standard,Monthly,153,26,1,0
262,22,Female,37,6,8,17,Basic,Quarterly,212,12,1,0
267,59,Male,41,18,6,18,Standard,Annual,971,12,1,1
268,65,Male,55,10,5,18,Premium,Quarterly,689,6,1,2
277,19,Male,54,27,6,30,Standard,Quarterly,131,20,1,1
278,24,Female,48,29,10,30,Premium,Monthly,278,26,1,2
280,38,Female,13,13,6,27,Standard,Quarterly,466,14,1,2
285,55,Female,28,11,0,21,Premium,Monthly,741,4,1,2
288,20,Female,50,8,2,30,Basic,Annual,407,29,1,1
289,40,Male,5,1,3,21,Standard,Annual,101,12,1,1
292,24,Female,8,7,8,29,Premium,Annual,226,4,1,1
299,18,Female,50,10,6,27,Standard,Monthly,487,18,1,2
300,37,Male,42,26,5,24,Premium,Quarterly,862,9,1,2
304,52,Female,9,2,5,3,Premium,Monthly,592,24,1,2
307,19,Female,26,18,10,18,Standard,Monthly,721,25,1,2
319,45,Female,47,19,10,23,Basic,Monthly,464,24,1,0
320,31,Male,52,7,10,19,Premium,Quarterly,197,3,1,2
325,23,Female,39,11,2,24,Standard,Monthly,666,25,1,2
328,45,Female,59,11,7,20,Standard,Annual,175,29,1,1
329,58,Female,60,5,8,17,Premium,Annual,951,13,1,1
335,26,Male,54,26,8,27,Basic,Annual,525,30,1,1
337,53,Male,46,5,5,4,Premium,Monthly,977,2,1,2
340,23,Female,48,11,8,26,Basic,Monthly,169,15,1,0
341,36,Female,51,21,6,16,Premium,Monthly,278,27,1,2
345,47,Female,37,20,8,16,Premium,Monthly,641,2,1,2
346,53,Female,44,21,10,27,Standard,Annual,650,3,1,1
351,55,Female,29,3,8,4,Basic,Quarterly,918,9,1,0
359,60,Female,46,6,1,25,Standard,Monthly,621,2,1,2
361,51,Female,6,20,7,22,Premium,Monthly,999,3,1,2
365,57,Female,41,7,3,25,Premium,Quarterly,130,18,1,2
370,54,Female,30,6,1,24,Standard,Monthly,721,16,1,2
372,30,Female,37,28,5,17,Premium,Annual,124,19,1,1
376,25,Female,46,30,7,22,Premium,Quarterly,982,18,1,2
386,41,Female,41,15,10,27,Premium,Quarterly,814,19,1,2
